,0,1,2,3,4,5,6
81,26,tt0221485,movie,Politico por error,Comedy,1991,
82,26,tt0220975,movie,Angne & Svullo 'Här och nu!',Comedy,1991,
83,26,tt0226046,movie,Kunoichi senshi ninja,Comedy,1991,3.0
84,26,tt0227436,movie,Satsujin ga ippai,Comedy,1991,7.0
85,26,tt0228457,movie,Jigoku no banken: kerubersu,Comedy,1991,3.0
86,26,tt0229644,movie,Pelo suelto,Comedy,1991,12.0
87,26,tt0230575,movie,Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror,Comedy,1991,
88,26,tt0231563,movie,Family Express,Comedy,1992,3.0
89,26,tt0236007,movie,Bay Ganyo tragna po Evropa,Comedy,1991,10.0
90,26,tt0239243,movie,Asatte dansu,Comedy,1991,6.0
91,26,tt0241037,movie,Vinovatul,Comedy,1991,
92,26,tt0240794,movie,Patient aus Leidenschaft,Comedy,1991,
93,26,tt0241326,movie,Le coup suprême,Comedy,1992,4.0
94,26,tt0241708,movie,Matou a Família e Foi ao Cinema,Comedy,1991,
95,26,tt0243433,movie,My Lovely Monster,Comedy,1991,2.0
96,26,tt0244706,movie,The Passion of Martin,Comedy,1991,4.0
97,26,tt0246203,movie,Rowdy Alludu,Comedy,1991,10.0
98,26,tt0246840,movie,Papito querido,Comedy,1991,5.0
99,26,tt0247302,movie,Doubles,Comedy,1991,
100,26,tt4495760,movie,Shtemp,Action,1991,9.0
101,26,tt4507648,movie,Kiladi Gandu,Action,1991,
102,26,tt4509312,movie,Mission 369,Action,1991,1.0
103,26,tt4509330,movie,Maut Ki Lakeer,Action,1991,1.0
104,26,tt4533580,movie,Safari 6,Action,1991,11.0
105,26,tt4574076,movie,Jin can xiang,Action,1991,
106,26,tt4627690,movie,Ipaglaban mo ako Boy Topak,Action,1991,9.0
107,26,tt4636088,movie,Udeekan Saun Diyan,Action,1991,1.0
108,26,tt4701496,movie,Reynaldo Barcenas: Rey Guinto - Terror Hunter,Action,1991,
109,26,tt4780120,movie,Ucchi Haveli,Action,1991,1.0
110,26,tt4979586,movie,Ek Aur Dharmatma,Action,1991,1.0
111,26,tt5090954,movie,Duwag lang ang sumusuko!,Action,1991,
112,26,tt5104282,movie,Psycho Sex Killer,Action,1991,
113,26,tt5133120,movie,Pokhorony na vtorom etazhe,Action,1991,
114,26,tt5164872,movie,Junior Elvis: Nakaukit na ang lapida mo,Action,1991,
115,26,tt5201016,movie,Lt. Palagawad: Mag-uunahan ang paa mo sa Hukay,Action,1991,
116,26,tt5209288,movie,Babae,Action,1991,
117,26,tt5224302,movie,Subukan Kami Kung Kaya N'yo,Action,1991,
118,26,tt5243238,movie,Dhamki,Action,1991,10.0
119,26,tt5247406,movie,Ilalaban kita ng patayan!,Action,1991,12.0
120,26,tt5286556,movie,Tawilwil Gang,Action,1991,
121,26,tt5316236,movie,Dehekte Sholay,Action,1991,1.0
122,26,tt5342710,movie,Utol Ni Ben Tumbling,Action,1991,
123,26,tt5349762,movie,Dangga,Action,1991,
124,26,tt5680430,movie,Buburahin kita sa mundo,Action,1991,10.0
125,26,tt5767464,movie,Lie xue jie tou,Action,1991,
126,26,tt5839220,movie,Lyubimchik,Action,1991,10.0
127,26,tt5844760,movie,Ushchelye 'dukhov',Action,1991,
128,26,tt6025460,movie,Hithata Dukak Nathi Miniha,Action,1991,5.0
129,26,tt6513106,movie,Teen Yake Teen Chake,Action,1991,6.0
130,26,tt6558572,movie,Mei dai mei xiao,Action,1991,
131,26,tt6707592,movie,Top Rangbaaz,Action,1991,
132,26,tt7333100,movie,Rin Shodh,Action,1991,
133,26,tt8204564,movie,Laguna De Bay Massacre,Action,1991,
134,26,tt8417592,movie,Penumpas Ajaran Sesat,Action,1991,
135,26,tt7345986,movie,Sindoor,Action,1991,
136,26,tt6897510,movie,Bu ju,Action,1991,5.0
137,26,tt9330066,movie,Babad Tanah Leluhur II,Action,1991,
138,26,tt8835700,movie,The Skid Kid,Action,1991,
139,26,tt7721904,movie,Aakhri Shikar,Action,1991,1.0
140,26,tt9128850,movie,Riaz Gujjar,Action,1991,10.0
141,26,tt7721954,movie,Cobra,Action,1991,1.0
142,26,tt9030294,movie,Maanagara Kaaval,Action,1991,6.0
143,26,tt7821870,movie,Qi xing bi yu dao,Action,1991,
144,26,tt8067498,movie,Modada Mareyalli,Action,1991,5.0
145,26,tt9261654,movie,Payuk Rai Chiang Choon,Action,1991,
146,26,tt8330292,movie,Assr El Qowa,Action,1991,10.0
147,26,tt6881850,movie,Kalawang sa bakal,Action,1991,
148,26,tt23732658,movie,Adhikari,Action,1991,4.0
149,26,tt26688992,movie,Deadly Heat,Action,1991,
150,26,tt0212615,movie,The Wishing Tree,Fantasy,1999,
151,26,tt0211413,movie,Himitsu,Fantasy,1999,9.0
152,26,tt0213314,movie,Xing yuan,Fantasy,1999,8.0
153,26,tt0214292,movie,Wanted,Fantasy,1999,10.0
154,26,tt0218556,movie,De rode zwaan,Fantasy,1999,10.0
155,26,tt0222719,movie,Andromina: The Pleasure Planet,Fantasy,1999,8.0
156,26,tt0226362,movie,Ragdoll,Fantasy,2005,11.0
157,26,tt0226451,movie,Serebryanye golovy,Fantasy,1999,10.0
158,26,tt0228237,movie,Dr. Wong's Virtual Hell,Fantasy,2006,3.0
159,26,tt0228685,movie,Oriundi,Fantasy,2002,10.0
160,26,tt0228807,movie,Saimin,Fantasy,1999,6.0
161,26,tt0229557,movie,Manuelita,Fantasy,1999,7.0
162,26,tt0231325,movie,Castelo Rá-Tim-Bum: O Filme,Fantasy,1999,12.0
163,26,tt0231791,movie,Ingenue,Fantasy,1999,
164,26,tt0233691,movie,Faeries,Fantasy,1999,6.0
165,26,tt0233856,movie,Hello Brother,Fantasy,1999,9.0
166,26,tt0233839,movie,Hakuchi,Fantasy,2001,6.0
167,26,tt0239349,movie,Doctor K,Fantasy,1999,1.0
168,26,tt0243558,movie,Shôjo kakumei Utena: Adolescence mokushiroku,Fantasy,1999,8.0
169,26,tt0244695,movie,Odlotowe wakacje,Fantasy,1999,3.0
170,26,tt0252965,movie,Burger Boy's,Fantasy,1999,8.0
171,26,tt0262411,movie,Fatty Drives the Bus,Fantasy,1999,3.0
172,26,tt0267455,movie,Durango Kids,Fantasy,1999,10.0
173,26,tt0272425,movie,Yonggary,Fantasy,1999,7.0
174,26,tt0277663,movie,Dazzle,Fantasy,1999,10.0
175,26,tt0294297,movie,Anino,Fantasy,1999,4.0
176,26,tt0300269,movie,Ninfetas Diabólicas,Fantasy,1999,12.0
177,26,tt0301082,movie,Gekijô-ban Kâdokaputâ Sakura,Fantasy,1999,8.0
178,26,tt0310006,movie,Pioneer 12,Fantasy,1999,
179,26,tt0313965,movie,Devi,Fantasy,1999,3.0
180,26,tt0345599,movie,Meng gui nu she gong,Fantasy,1999,8.0
181,26,tt0345913,movie,Sei chun,Fantasy,1999,8.0
182,26,tt0345416,movie,Yim gong gau wan,Fantasy,1999,9.0
183,26,tt0346911,movie,Dugo ng birhen: El kapitan,Fantasy,1999,10.0
184,26,tt0348342,movie,Wansapanataym,Fantasy,1999,5.0
185,26,tt0347760,movie,Pepeng Agimat,Fantasy,1999,12.0
186,26,tt0367466,movie,A1,Fantasy,1999,
187,26,tt0380242,movie,Calla,Fantasy,1999,9.0
188,26,tt0392380,movie,Magyosnitzi,Fantasy,1999,10.0
189,26,tt0412879,movie,Joseph and the Coat of Many Colors,Fantasy,1999,
190,26,tt0422081,movie,Kairaku Satsujin Chousakan Kouji,Fantasy,1999,
191,26,tt0431785,movie,Giulia,Fantasy,1999,
192,26,tt0484010,movie,Yamajaathakudu,Fantasy,1999,3.0
193,26,tt1147514,movie,Doraemon: Nobita no Uchû hyôryûki,Fantasy,1999,3.0
194,26,tt12160394,movie,Manus,Fantasy,1999,
195,26,tt1452902,movie,Maa Goja Bayani,Fantasy,1999,
196,26,tt1454111,movie,Jai Sriram,Fantasy,2005,
197,26,tt1459967,movie,Sola Shukrabaar,Fantasy,1999,1.0
198,26,tt14773296,movie,Genie with a weenie,Fantasy,1999,7.0
199,26,tt1623780,movie,La leggenda del Titanic,Fantasy,1999,4.0
200,26,tt0120766,movie,Mørkets øy,Horror,1997,12.0
201,26,tt0123371,movie,Aberration,Horror,1998,7.0
202,26,tt0123755,movie,Cube,Horror,1998,7.0
203,26,tt0124777,movie,Latin Boys Go to Hell,Horror,1997,9.0
204,26,tt0123948,movie,Cure,Horror,1997,12.0
205,26,tt0125381,movie,Love God,Horror,1997,9.0
206,26,tt0126820,movie,Bloodletting,Horror,1997,
207,26,tt0128823,movie,The Vicious Sweet,Horror,1997,
208,26,tt0129358,movie,Search for the Beast,Horror,1997,
209,26,tt0128473,movie,Shadow Zone: My Teacher Ate My Homework,Horror,1997,10.0
210,26,tt0128457,movie,Scary Texas Movie,Horror,1997,
211,26,tt0130177,movie,The Parasite,Horror,1997,
212,26,tt0130897,movie,Nerawareta gakuen,Horror,1997,
213,26,tt0130264,movie,The Skull of Pain,Horror,1997,3.0
214,26,tt0129852,movie,The Creeps,Horror,1997,12.0
215,26,tt0133400,movie,Barbacoa sangrienta,Horror,1997,12.0
